all_benign_distrust_attacker,attack_actions,attack_extra_path_length_max,attack_extra_path_length_mean,attack_extra_path_length_total,attack_fraction_route_affected,attack_fraction_samples_influenced,attack_induced_path_changes,attack_mean_attacker_route_cost,attack_mean_influential_fake_cells,attack_route_penalty_max,attack_route_penalty_mean,attack_route_penalty_total,attacker_min_source_memory_by_robot,attacker_min_source_memory_mean,attacker_min_trust_by_robot,attacker_min_trust_mean,attacks_evaluated_for_route_impact,benign_blocked_moves,benign_blocked_world,benign_deliveries_after_attack,benign_deliveries_after_distrust,benign_deliveries_by_robot,benign_delivery_cycle_duration_mean_steps,benign_delivery_cycle_duration_median_steps,benign_delivery_cycle_duration_p95_steps,benign_delivery_time_mean_steps,benign_loaded_delivery_duration_mean_steps,benign_loaded_delivery_duration_median_steps,benign_loaded_delivery_duration_p95_steps,benign_movement_steps,benign_no_path_steps,benign_path_changes,benign_planning_checks,benign_productive_replans,benign_success_rate,benign_total_deliveries_completed,benign_total_distance,benign_total_replans,benign_traffic_wait_steps,corridor_entry_denied,corridor_reservations_released,corridor_reservations_started,deadlocks_detected,deadlocks_recovered,deliveries_during_attack,deliveries_during_recon,deliveries_during_recovery,deliveries_per_1000_steps,distance_per_delivery,distrusted_benign_robot_count,engine,fake_obstacle_path_changes,fake_obstacle_replan_checks,false_acceptance_count,false_acceptance_rate,false_clearance_path_changes,false_clearance_replan_checks,final_attacker_trust_mean,fresh_contradictions,head_on_swap_conflicts_detected,idle_parking_events,intent_commit_mismatches,malicious_contradiction_batches,malicious_report_deliveries,malicious_report_path_changes,malicious_report_replan_checks,malicious_reports_accepted,malicious_reports_influential,malicious_reports_operationally_ignored,malicious_verified_false_reports,manifest_hash,map_error_final,map_error_mean,map_hash,mean_influential_fake_cells_during_attack,method,per_robot_idle_steps,prevented_robot_conflicts,productive_replan_ratio,recovery_start_attacker_trust_mean,recovery_time_steps,recovery_trust_gain,replans_during_attack,replans_per_delivery,reservation_conflicts_detected,robot_on_route_path_changes,robot_on_route_replan_checks,robot_overlap_violations,scenario_manifest_hash,seed,stale_reassertion_path_changes,stale_reassertion_replan_checks,steps_completed,steps_route_affected_by_attacker,temporary_obstacle_path_changes,temporary_obstacle_replan_checks,time_to_all_benign_distrust,time_to_distrust_by_robot,time_to_distrust_malicious_robot,traffic_event_counts,traffic_replans,traffic_replans_suppressed,traffic_wait_steps_during_attack,traffic_waits_per_delivery,traffic_yield_events,traffic_yields_completed,vertex_conflicts_detected
1,294,4.0,0.2857142857142857,10.0,0.060294117647058824,0.060294117647058824,5.0,0.42705780987317976,1.7941176470588236,12.641087103614126,1.1938709834659187,41.78548442130715,"{1: 0.11423734989784112, 2: 0.04335901905823816}",0.07879818447803964,"{1: 0.11423734989784112, 2: 0.04335901905823816}",0.07879818447803964,35,0.0,0,53.0,36.0,"{1: 29, 2: 30}",82.88135593220339,79.0,122.49999999999997,45.101694915254235,45.101694915254235,47.0,65.0,4854,0.0,261.0,414.0,261,0.295,59.0,4854.0,261,26.0,0,0,0,0.0,0,41.0,6.0,12.0,23.599999999999998,82.27118644067797,2.0,modular_native,4.0,4.0,584,0.9931972789115646,0.0,0.0,0.812676718286714,114,32,0,0.0,74,588,4.0,4.0,588,584,4.0,114,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.006517690875232775,0.019872096509206055,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.7941176470588236,latest_report,{},45,1.0,0.4180269470954392,0,0.39464977119127476,90.0,4.423728813559322,4,0.0,0.0,0.0,8f51e48d53b50e083aecde798931828e956ae68b98f17982cc6f2ceb6ec9e161,16,0.0,0.0,2500,196.0,25.0,25.0,1264.0,"{1: 715, 2: 1264}",715.0,"{'vertex_conflicts_detected': 9, 'head_on_swap_conflicts_detected': 32, 'reservation_conflicts_detected': 4, 'traffic_yield_events': 16, 'traffic_yields_completed': 16, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",17.0,0,8.0,0.4406779661016949,16,16,9
1,294,4.0,0.2857142857142857,10.0,0.03823529411764706,0.03823529411764706,4.0,0.21010027110478127,0.986764705882353,9.559479964327664,0.7097719601036483,24.84201860362769,"{1: 0.07755230923022842, 2: 0.056463787241507864}",0.06700804823586815,"{1: 0.07755230923022842, 2: 0.056463787241507864}",0.06700804823586815,35,0.0,0,54.0,37.0,"{1: 30, 2: 30}",82.48333333333333,79.0,122.24999999999999,45.083333333333336,45.083333333333336,48.5,65.39999999999998,4857,0.0,281.0,433.0,281,0.3,60.0,4857.0,281,22.0,0,0,0,0.0,0,41.0,6.0,13.0,24.0,80.95,2.0,modular_native,5.0,5.0,588,1.0,0.0,0.0,0.77249959603725,145,28,0,0.0,73,588,6.0,6.0,588,588,0.0,145,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.006799637352674524,0.02153854665012721,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.986764705882353,majority_vote,{},37,1.0,0.1818818424408627,0,0.5906177535963874,108.0,4.683333333333334,4,0.0,0.0,0.0,8f51e48d53b50e083aecde798931828e956ae68b98f17982cc6f2ceb6ec9e161,16,1.0,1.0,2500,116.0,33.0,33.0,1266.0,"{1: 710, 2: 1266}",710.0,"{'vertex_conflicts_detected': 5, 'head_on_swap_conflicts_detected': 28, 'reservation_conflicts_detected': 4, 'traffic_yield_events': 14, 'traffic_yields_completed': 14, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",14.0,0,12.0,0.36666666666666664,14,14,5
1,294,8.0,0.45714285714285713,16.0,0.039705882352941174,0.039705882352941174,6.0,0.34834576227871533,1.0602941176470588,16.4756958644616,1.4235160387405632,49.82306135591971,"{1: 0.12349249207645802, 2: 0.1077262056340663}",0.11560934885526217,"{1: 0.12349249207645802, 2: 0.1077262056340663}",0.11560934885526217,35,0.0,0,54.0,40.0,"{1: 30, 2: 30}",82.66666666666667,81.5,122.1,44.93333333333333,44.93333333333333,49.0,65.19999999999999,4852,1.0,264.0,419.0,264,0.3,60.0,4852.0,264,26.0,4,0,0,0.0,0,41.0,6.0,12.0,24.0,80.86666666666666,2.0,modular_native,7.0,7.0,588,1.0,0.0,0.0,0.8264863594115217,144,36,0,0.0,77,588,7.0,7.0,588,588,0.0,144,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.0018527099852401058,0.02126275279054598,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.0602941176470588,full_trust,{},48,1.0,0.27076001781756454,0,0.5557263415939573,90.0,4.4,6,0.0,0.0,0.0,8f51e48d53b50e083aecde798931828e956ae68b98f17982cc6f2ceb6ec9e161,16,0.0,0.0,2500,137.0,32.0,32.0,966.0,"{1: 694, 2: 966}",694.0,"{'vertex_conflicts_detected': 6, 'head_on_swap_conflicts_detected': 36, 'reservation_conflicts_detected': 6, 'traffic_yield_events': 18, 'traffic_yields_completed': 18, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 4}",19.0,0,10.0,0.43333333333333335,18,18,6
1,294,8.0,0.45714285714285713,16.0,0.039705882352941174,0.039705882352941174,6.0,0.3215100743861552,1.0602941176470588,16.4756958644616,1.2955650559145757,45.34477695701015,"{1: 0.1263968533735369, 2: 0.10774169949567695}",0.11706927643460693,"{1: 0.1263968533735369, 2: 0.10774169949567695}",0.11706927643460693,35,0.0,0,53.0,39.0,"{1: 29, 2: 30}",82.33898305084746,80.0,124.29999999999998,44.49152542372882,44.49152542372882,49.0,65.0,4854,0.0,263.0,409.0,263,0.295,59.0,4854.0,263,26.0,4,0,0,0.0,0,41.0,6.0,12.0,23.599999999999998,82.27118644067797,2.0,modular_native,7.0,7.0,441,0.75,0.0,0.0,0.7540688559590683,146,32,0,0.0,74,588,7.0,7.0,588,441,147.0,146,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.0023084025854108957,0.019753393417742172,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.0602941176470588,trust_fused,{},45,1.0,0.21019251436659964,0,0.5394822900261785,95.0,4.4576271186440675,6,0.0,0.0,0.0,8f51e48d53b50e083aecde798931828e956ae68b98f17982cc6f2ceb6ec9e161,16,0.0,0.0,2500,136.0,31.0,31.0,966.0,"{1: 694, 2: 966}",694.0,"{'vertex_conflicts_detected': 7, 'head_on_swap_conflicts_detected': 32, 'reservation_conflicts_detected': 6, 'traffic_yield_events': 16, 'traffic_yields_completed': 16, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 4}",17.0,0,13.0,0.4406779661016949,16,16,7
1,294,8.0,0.45714285714285713,16.0,0.025,0.025,6.0,0.25659957189347665,0.6102941176470589,16.4756958644616,1.246683324345567,43.63391635209484,"{1: 0.12237233854308156, 2: 0.16556031916078037}",0.14396632885193097,"{1: 0.12237233854308156, 2: 0.16556031916078037}",0.14396632885193097,35,0.0,0,54.0,40.0,"{1: 30, 2: 30}",82.03333333333333,79.5,122.05,44.71666666666667,44.71666666666667,49.0,65.0,4862,1.0,256.0,407.0,256,0.3,60.0,4862.0,256,16.0,2,0,0,0.0,0,41.0,6.0,13.0,24.0,81.03333333333333,2.0,modular_native,6.0,7.0,420,0.7142857142857143,0.0,0.0,0.8707297283484945,149,20,0,0.0,70,588,6.0,7.0,588,420,168.0,149,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.003266667363462798,0.020134340830441282,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.6102941176470589,source_memory,{},30,1.0,0.30795907670586437,0,0.5627706516426301,94.0,4.266666666666667,5,0.0,0.0,0.0,8f51e48d53b50e083aecde798931828e956ae68b98f17982cc6f2ceb6ec9e161,16,0.0,0.0,2500,93.0,27.0,27.0,966.0,"{1: 694, 2: 966}",694.0,"{'vertex_conflicts_detected': 5, 'head_on_swap_conflicts_detected': 20, 'reservation_conflicts_detected': 5, 'traffic_yield_events': 11, 'traffic_yields_completed': 11, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 2}",12.0,0,7.0,0.26666666666666666,11,11,5
1,371,24.0,0.6153846153846154,24.0,0.04852941176470588,0.04852941176470588,4.0,0.5441673451706088,1.5382352941176471,73.12614366349233,1.9655147695854986,76.65507601383445,"{1: 0.055958975999792465, 2: 0.05423167552732161}",0.05509532576355704,"{1: 0.055958975999792465, 2: 0.05423167552732161}",0.05509532576355704,39,0.0,0,47.0,43.0,"{1: 25, 2: 27}",95.11538461538461,90.0,134.79999999999998,46.78846153846154,46.78846153846154,50.0,64.0,4496,380.0,223.0,738.0,223,0.26,52.0,4496.0,223,20.0,1,0,0,0.0,0,36.0,5.0,11.0,20.8,86.46153846153847,2.0,modular_native,2.0,2.0,721,0.9716981132075472,0.0,0.0,0.8792060234868786,216,24,0,0.0,110,742,5.0,5.0,742,721,21.0,216,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.011671335200746966,0.027438363784414853,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.5382352941176471,latest_report,{},39,1.0,0.4261898653330862,0,0.4485686082804967,89.0,4.288461538461538,5,0.0,0.0,0.0,dc14bf5d7743261e15527432a2611d84ee52b2a011e33079c9ce097006f1aebd,17,3.0,3.0,2500,169.0,17.0,17.0,499.0,"{1: 410, 2: 499}",410.0,"{'vertex_conflicts_detected': 10, 'head_on_swap_conflicts_detected': 24, 'reservation_conflicts_detected': 5, 'traffic_yield_events': 12, 'traffic_yields_completed': 12, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 1}",14.0,0,7.0,0.38461538461538464,12,12,10
1,371,0.0,0.0,0.0,0.052941176470588235,0.052941176470588235,7.0,0.06805284311953633,1.4176470588235295,2.7609323503421166,0.23583139869053774,9.197424548930972,"{1: 0.03146504183312474, 2: 0.09584272542960072}",0.06365388363136273,"{1: 0.03146504183312474, 2: 0.09584272542960072}",0.06365388363136273,39,0.0,0,47.0,43.0,"{1: 25, 2: 27}",94.78846153846153,91.0,133.0,46.69230769230769,46.69230769230769,51.0,64.0,4509,370.0,219.0,740.0,219,0.26,52.0,4509.0,219,16.0,1,0,0,0.0,0,36.0,5.0,11.0,20.8,86.71153846153847,2.0,modular_native,3.0,3.0,742,1.0,0.0,0.0,0.8740396332677122,205,22,0,0.0,104,742,4.0,4.0,742,742,0.0,205,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.012264150943396227,0.027056159083959416,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.4176470588235295,majority_vote,{},32,1.0,0.32802025789981676,0,0.5428021285892238,89.0,4.211538461538462,3,0.0,0.0,0.0,dc14bf5d7743261e15527432a2611d84ee52b2a011e33079c9ce097006f1aebd,17,1.0,1.0,2500,170.0,16.0,16.0,499.0,"{1: 410, 2: 499}",410.0,"{'vertex_conflicts_detected': 7, 'head_on_swap_conflicts_detected': 22, 'reservation_conflicts_detected': 3, 'traffic_yield_events': 11, 'traffic_yields_completed': 11, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 1}",11.0,0,9.0,0.3076923076923077,11,11,7
1,371,12.0,0.41025641025641024,16.0,0.057352941176470586,0.057352941176470586,9.0,0.5488580247803755,1.5294117647058822,39.98029286763288,2.00679448201217,78.26498479847463,"{1: 0.051088701045732716, 2: 0.10563965958212045}",0.07836418031392658,"{1: 0.051088701045732716, 2: 0.10563965958212045}",0.07836418031392658,39,0.0,0,50.0,46.0,"{1: 27, 2: 28}",89.32727272727273,90.0,124.6,47.89090909090909,47.89090909090909,51.0,64.3,4859,0.0,232.0,399.0,232,0.275,55.0,4859.0,232,30.0,0,0,0,0.0,0,39.0,5.0,11.0,22.0,88.34545454545454,2.0,modular_native,4.0,5.0,742,1.0,0.0,0.0,0.8703419394421961,268,34,0,0.0,147,742,6.0,7.0,742,742,0.0,268,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.019721111322711017,0.025932699521844908,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.5294117647058822,full_trust,{},53,1.0,0.2809337036457224,11,0.586163690201686,92.0,4.218181818181818,9,0.0,0.0,0.0,dc14bf5d7743261e15527432a2611d84ee52b2a011e33079c9ce097006f1aebd,17,2.0,2.0,2500,190.0,17.0,17.0,499.0,"{1: 408, 2: 499}",408.0,"{'vertex_conflicts_detected': 10, 'head_on_swap_conflicts_detected': 34, 'reservation_conflicts_detected': 9, 'traffic_yield_events': 17, 'traffic_yields_completed': 17, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",17.0,0,15.0,0.5454545454545454,17,17,10
1,371,0.0,0.0,0.0,0.022058823529411766,0.022058823529411766,2.0,0.032425696635170476,0.7088235294117647,2.396187715108681,0.07171690181141344,2.796959170645124,"{1: 0.06656248336366377, 2: 0.09539567205728959}",0.08097907771047669,"{1: 0.06656248336366377, 2: 0.09539567205728959}",0.08097907771047669,39,0.0,0,50.0,46.0,"{1: 27, 2: 28}",89.65454545454546,91.0,126.3,48.74545454545454,48.74545454545454,51.0,66.3,4857,0.0,247.0,404.0,247,0.275,55.0,4857.0,247,32.0,0,0,0,0.0,0,39.0,5.0,11.0,22.0,88.30909090909091,2.0,modular_native,1.0,1.0,311,0.4191374663072776,0.0,0.0,0.8766980892741101,219,44,0,0.0,121,742,2.0,2.0,742,311,431.0,219,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.020676691729323307,0.02537352114948182,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.7088235294117647,trust_fused,{},60,1.0,0.3961984929677911,16,0.4790341820347961,102.0,4.490909090909091,6,0.0,0.0,0.0,dc14bf5d7743261e15527432a2611d84ee52b2a011e33079c9ce097006f1aebd,17,1.0,1.0,2500,71.0,25.0,25.0,499.0,"{1: 408, 2: 499}",408.0,"{'vertex_conflicts_detected': 10, 'head_on_swap_conflicts_detected': 44, 'reservation_conflicts_detected': 6, 'traffic_yield_events': 22, 'traffic_yields_completed': 22, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",23.0,0,18.0,0.5818181818181818,22,22,10
1,371,0.0,0.0,0.0,0.020588235294117647,0.020588235294117647,2.0,0.027703131754716375,0.6720588235294118,2.384084185092007,0.07140655488790898,2.78485564062845,"{1: 0.06622485688803639, 2: 0.09539567205728959}",0.08081026447266298,"{1: 0.06622485688803639, 2: 0.09539567205728959}",0.08081026447266298,39,0.0,0,50.0,46.0,"{1: 27, 2: 28}",89.65454545454546,91.0,126.3,48.74545454545454,48.74545454545454,51.0,66.3,4857,0.0,246.0,407.0,246,0.275,55.0,4857.0,246,32.0,0,0,0,0.0,0,39.0,5.0,11.0,22.0,88.30909090909091,2.0,modular_native,1.0,1.0,272,0.3665768194070081,0.0,0.0,0.8766468526917175,219,44,0,0.0,121,742,2.0,2.0,742,272,470.0,219,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.020676691729323307,0.02508864619521396,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.6720588235294118,source_memory,{},60,1.0,0.39619849290994436,15,0.4789816274005828,100.0,4.472727272727273,6,0.0,0.0,0.0,dc14bf5d7743261e15527432a2611d84ee52b2a011e33079c9ce097006f1aebd,17,1.0,1.0,2500,62.0,25.0,25.0,499.0,"{1: 409, 2: 499}",409.0,"{'vertex_conflicts_detected': 10, 'head_on_swap_conflicts_detected': 44, 'reservation_conflicts_detected': 6, 'traffic_yield_events': 22, 'traffic_yields_completed': 22, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",23.0,0,18.0,0.5818181818181818,22,22,10
