baseline_method,ci95_difference_high,ci95_difference_low,direction,focal_method,improvement_ci95_high,improvement_ci95_low,improvement_difference,mean_difference,metric,n_pairs,sample_std_difference,sem_difference
latest_report,14.7062047364,-10.7062047364,higher_better,source_memory,14.7062047364,-10.7062047364,2.0,2.0,benign_total_deliveries_completed,2,1.4142135623730951,1.0
latest_report,14.7062047364,-10.7062047364,higher_better,source_memory,14.7062047364,-10.7062047364,2.0,2.0,benign_deliveries_after_attack,2,1.4142135623730951,1.0
latest_report,9.8531023682,-2.8531023682,higher_better,source_memory,9.8531023682,-2.8531023682,3.5,3.5,benign_deliveries_after_distrust,2,0.7071067811865476,0.5
latest_report,0.07353102368200007,-0.05353102368200005,higher_better,source_memory,0.07353102368200007,-0.05353102368200005,0.010000000000000009,0.010000000000000009,benign_success_rate,2,0.007071067811865481,0.0050000000000000044
latest_report,5.882481894559983,-4.282481894559981,higher_better,source_memory,5.882481894559983,-4.282481894559981,0.8000000000000007,0.8000000000000007,deliveries_per_1000_steps,2,0.565685424949236,0.3999999999999986
latest_report,2231.0320022842,-2610.0320022842,lower_better,source_memory,2610.0320022842,-2231.0320022842,189.5,-189.5,benign_no_path_steps,2,269.4076836320746,190.5
latest_report,19.906747007777973,-19.297047667570162,lower_better,source_memory,19.297047667570162,-19.906747007777973,-0.3048496701039056,0.3048496701039056,distance_per_delivery,2,2.1817111905783673,1.5427027774485396
latest_report,26.15126494406345,-32.460126703772666,lower_better,source_memory,32.460126703772666,-26.15126494406345,3.1544308798546083,-3.1544308798546083,benign_delivery_cycle_duration_mean_steps,2,3.261753871337965,2.3064082809845488
latest_report,3.9265511841,-2.4265511841,lower_better,source_memory,2.4265511841,-3.9265511841,-0.75,0.75,benign_delivery_cycle_duration_median_steps,2,0.3535533905932738,0.25
latest_report,46.667474064010094,-55.617474064010054,lower_better,source_memory,55.617474064010054,-46.667474064010094,4.47499999999998,-4.47499999999998,benign_delivery_cycle_duration_p95_steps,2,5.692209588551716,4.025000000000006
latest_report,15.665083164406369,-14.093118406000933,lower_better,source_memory,14.093118406000933,-15.665083164406369,-0.7859823792027179,0.7859823792027179,benign_loaded_delivery_duration_mean_steps,2,1.6560591115040528,1.1710106277902845
latest_report,7.8531023682,-4.8531023682,lower_better,source_memory,4.8531023682,-7.8531023682,-1.5,1.5,benign_loaded_delivery_duration_median_steps,2,0.7071067811865476,0.5
latest_report,15.762135446859977,-13.46213544685998,lower_better,source_memory,13.46213544685998,-15.762135446859977,-1.1499999999999986,1.1499999999999986,benign_loaded_delivery_duration_p95_steps,2,1.6263455967290572,1.1499999999999984
latest_report,2427.1451359746,-2058.1451359746,lower_better,source_memory,2058.1451359746,-2427.1451359746,-184.5,184.5,benign_total_distance,2,249.60869375885127,176.5
latest_report,1889.4051672967998,-2227.4051672968,lower_better,source_memory,2227.4051672968,-1889.4051672967998,169.0,-169.0,benign_planning_checks,2,229.1025971044414,162.0
latest_report,186.88686630959998,-168.88686630959998,lower_better,source_memory,168.88686630959998,-186.88686630959998,-9.0,9.0,benign_path_changes,2,19.79898987322333,13.999999999999998
latest_report,43.1186142092,-33.1186142092,diagnostic,source_memory,,,,5.0,temporary_obstacle_replan_checks,2,4.242640687119285,2.9999999999999996
latest_report,43.1186142092,-33.1186142092,diagnostic,source_memory,,,,5.0,temporary_obstacle_path_changes,2,4.242640687119285,2.9999999999999996
latest_report,0.0,0.0,diagnostic,source_memory,,,,0.0,robot_on_route_replan_checks,2,0.0,0.0
latest_report,0.0,0.0,diagnostic,source_memory,,,,0.0,robot_on_route_path_changes,2,0.0,0.0
latest_report,38.1186142092,-38.1186142092,lower_better,source_memory,38.1186142092,-38.1186142092,-0.0,0.0,malicious_report_replan_checks,2,4.242640687119285,2.9999999999999996
latest_report,31.265511841,-32.265511841,lower_better,source_memory,32.265511841,-31.265511841,0.5,-0.5,malicious_report_path_changes,2,3.5355339059327378,2.5
latest_report,26.4124094728,-24.4124094728,lower_better,source_memory,24.4124094728,-26.4124094728,-1.0,1.0,fake_obstacle_replan_checks,2,2.8284271247461903,2.0
latest_report,19.5593071046,-18.5593071046,lower_better,source_memory,18.5593071046,-19.5593071046,-0.5,0.5,fake_obstacle_path_changes,2,2.1213203435596424,1.4999999999999998
latest_report,0.0,0.0,lower_better,source_memory,-0.0,-0.0,-0.0,0.0,false_clearance_replan_checks,2,0.0,0.0
latest_report,0.0,0.0,lower_better,source_memory,-0.0,-0.0,-0.0,0.0,false_clearance_path_changes,2,0.0,0.0
latest_report,11.7062047364,-13.7062047364,lower_better,source_memory,13.7062047364,-11.7062047364,1.0,-1.0,stale_reassertion_replan_checks,2,1.4142135623730951,1.0
latest_report,11.7062047364,-13.7062047364,lower_better,source_memory,13.7062047364,-11.7062047364,1.0,-1.0,stale_reassertion_path_changes,2,1.4142135623730951,1.0
latest_report,0.0,0.0,target_zero,source_memory,-0.0,-0.0,-0.0,0.0,benign_blocked_moves,2,0.0,0.0
latest_report,2.182092763806592,-2.154889176433513,lower_better,source_memory,2.154889176433513,-2.182092763806592,-0.013601793686539576,0.013601793686539576,replans_per_delivery,2,0.24135525937513325,0.17066394057919476
latest_report,2.3699569053428764,-2.3467654075751074,lower_better,source_memory,2.3467654075751074,-2.3699569053428764,-0.011595748883884455,0.011595748883884455,traffic_waits_per_delivery,2,0.2624880050046447,0.18560704831891267
latest_report,0.0,0.0,lower_better,source_memory,-0.0,-0.0,-0.0,0.0,deadlocks_detected,2,0.0,0.0
latest_report,0.0,0.0,target_zero,source_memory,-0.0,-0.0,-0.0,0.0,robot_overlap_violations,2,0.0,0.0
latest_report,0.0,0.0,target_zero,source_memory,-0.0,-0.0,-0.0,0.0,intent_commit_mismatches,2,0.0,0.0
latest_report,0.0,0.0,diagnostic,source_memory,,,,0.0,productive_replan_ratio,2,0.0,0.0
latest_report,116.062047364,-138.062047364,diagnostic,source_memory,,,,-11.0,time_to_distrust_malicious_robot,2,14.142135623730951,10.0
latest_report,1744.2245057236,-2042.2245057236,diagnostic,source_memory,,,,-149.0,time_to_all_benign_distrust,2,210.71782079359116,149.0
latest_report,0.0,0.0,higher_better,source_memory,0.0,0.0,0.0,0.0,distrusted_benign_robot_count,2,0.0,0.0
latest_report,0.2960917958835283,-0.205208712800531,diagnostic,source_memory,,,,0.04544154154149864,attacker_min_trust_mean,2,0.027897629265117255,0.01972660283239269
