seed,method,status,output_directory,scenario_manifest_hash,experiment_config_hash,code_revision_hash,git_commit,git_dirty,started_at,finished_at,duration_seconds,error
16,latest_report,completed,verification/latest_report_peer_fusion_heldout_16_17/seed_0016/latest_report,8f51e48d53b50e083aecde798931828e956ae68b98f17982cc6f2ceb6ec9e161,3598c0f3c8bc4aa53386c88086c3137dc1838574e6bf22af73e68b18b96be964,f77833d46df239b7a840b1a1f525b3f7f42b9db492b89bda9c6164995bab4504,unknown,False,2026-08-27T01:55:09.504429+00:00,2026-08-27T01:55:42.770129+00:00,33.266,
16,majority_vote,completed,verification/latest_report_peer_fusion_heldout_16_17/seed_0016/majority_vote,8f51e48d53b50e083aecde798931828e956ae68b98f17982cc6f2ceb6ec9e161,3598c0f3c8bc4aa53386c88086c3137dc1838574e6bf22af73e68b18b96be964,f77833d46df239b7a840b1a1f525b3f7f42b9db492b89bda9c6164995bab4504,unknown,False,2026-08-27T01:55:42.771285+00:00,2026-08-27T01:56:19.835715+00:00,37.064,
16,full_trust,completed,verification/latest_report_peer_fusion_heldout_16_17/seed_0016/full_trust,8f51e48d53b50e083aecde798931828e956ae68b98f17982cc6f2ceb6ec9e161,3598c0f3c8bc4aa53386c88086c3137dc1838574e6bf22af73e68b18b96be964,f77833d46df239b7a840b1a1f525b3f7f42b9db492b89bda9c6164995bab4504,unknown,False,2026-08-27T01:56:19.836716+00:00,2026-08-27T01:56:57.774909+00:00,37.938,
16,trust_fused,completed,verification/latest_report_peer_fusion_heldout_16_17/seed_0016/trust_fused,8f51e48d53b50e083aecde798931828e956ae68b98f17982cc6f2ceb6ec9e161,3598c0f3c8bc4aa53386c88086c3137dc1838574e6bf22af73e68b18b96be964,f77833d46df239b7a840b1a1f525b3f7f42b9db492b89bda9c6164995bab4504,unknown,False,2026-08-27T01:56:57.776378+00:00,2026-08-27T01:57:30.727432+00:00,32.951,
16,source_memory,completed,verification/latest_report_peer_fusion_heldout_16_17/seed_0016/source_memory,8f51e48d53b50e083aecde798931828e956ae68b98f17982cc6f2ceb6ec9e161,3598c0f3c8bc4aa53386c88086c3137dc1838574e6bf22af73e68b18b96be964,f77833d46df239b7a840b1a1f525b3f7f42b9db492b89bda9c6164995bab4504,unknown,False,2026-08-27T01:57:30.728544+00:00,2026-08-27T01:58:06.671544+00:00,35.943,
17,latest_report,completed,verification/latest_report_peer_fusion_heldout_16_17/seed_0017/latest_report,dc14bf5d7743261e15527432a2611d84ee52b2a011e33079c9ce097006f1aebd,3598c0f3c8bc4aa53386c88086c3137dc1838574e6bf22af73e68b18b96be964,f77833d46df239b7a840b1a1f525b3f7f42b9db492b89bda9c6164995bab4504,unknown,False,2026-08-27T01:58:44.661076+00:00,2026-08-27T01:59:16.885381+00:00,32.224,
17,majority_vote,completed,verification/latest_report_peer_fusion_heldout_16_17/seed_0017/majority_vote,dc14bf5d7743261e15527432a2611d84ee52b2a011e33079c9ce097006f1aebd,3598c0f3c8bc4aa53386c88086c3137dc1838574e6bf22af73e68b18b96be964,f77833d46df239b7a840b1a1f525b3f7f42b9db492b89bda9c6164995bab4504,unknown,False,2026-08-27T01:59:16.886797+00:00,2026-08-27T01:59:52.885124+00:00,35.999,
17,full_trust,completed,verification/latest_report_peer_fusion_heldout_16_17/seed_0017/full_trust,dc14bf5d7743261e15527432a2611d84ee52b2a011e33079c9ce097006f1aebd,3598c0f3c8bc4aa53386c88086c3137dc1838574e6bf22af73e68b18b96be964,f77833d46df239b7a840b1a1f525b3f7f42b9db492b89bda9c6164995bab4504,unknown,False,2026-08-27T01:59:52.889752+00:00,2026-08-27T02:00:31.638423+00:00,38.749,
17,trust_fused,completed,verification/latest_report_peer_fusion_heldout_16_17/seed_0017/trust_fused,dc14bf5d7743261e15527432a2611d84ee52b2a011e33079c9ce097006f1aebd,3598c0f3c8bc4aa53386c88086c3137dc1838574e6bf22af73e68b18b96be964,f77833d46df239b7a840b1a1f525b3f7f42b9db492b89bda9c6164995bab4504,unknown,False,2026-08-27T02:00:31.640148+00:00,2026-08-27T02:01:15.416040+00:00,43.776,
17,source_memory,completed,verification/latest_report_peer_fusion_heldout_16_17/seed_0017/source_memory,dc14bf5d7743261e15527432a2611d84ee52b2a011e33079c9ce097006f1aebd,3598c0f3c8bc4aa53386c88086c3137dc1838574e6bf22af73e68b18b96be964,f77833d46df239b7a840b1a1f525b3f7f42b9db492b89bda9c6164995bab4504,unknown,False,2026-08-27T02:01:15.417235+00:00,2026-08-27T02:02:01.504080+00:00,46.087,
