active_fake_claim_count,attacker_attributable_cost_on_route,attacker_is_trusted,attacker_route_cost_delta,attacker_source_memory,attacker_trust,benign_movement_steps,benign_no_path_steps,benign_total_distance,benign_total_replans,benign_traffic_wait_steps,deliveries_completed,goal,influential_fake_claim_count,map_error,mean_delivery_cycle_time_steps,mean_delivery_time_steps,method,path_changes,phase,planning_checks,position,preferred_route_affected_by_attacker,robot_id,route_affected_by_attacker,step
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(2, 50)",0,0.0,,,full_trust,1,RECONNAISSANCE,1,"(7, 8)",False,0,False,0
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(15, 2)",0,0.0,,,full_trust,1,RECONNAISSANCE,1,"(27, 41)",False,1,False,0
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(13, 50)",0,0.0,,,full_trust,1,RECONNAISSANCE,1,"(7, 42)",False,2,False,0
0,0.0,True,0.0,0.9,0.9,6,0,6.0,1,0,0,"(2, 50)",0,0.0,,,full_trust,1,RECONNAISSANCE,1,"(12, 8)",False,0,False,5
0,0.0,True,0.0,0.9,0.9,6,0,6.0,1,0,0,"(15, 2)",0,0.0,,,full_trust,1,RECONNAISSANCE,1,"(24, 39)",False,1,False,5
0,0.0,True,0.0,0.9,0.9,6,0,6.0,1,0,0,"(13, 50)",0,0.0,,,full_trust,1,RECONNAISSANCE,1,"(9, 45)",False,2,False,5
0,0.0,True,0.0,0.9,0.9,11,0,11.0,1,0,0,"(2, 50)",0,0.0,,,full_trust,1,RECONNAISSANCE,1,"(13, 12)",False,0,False,10
0,0.0,True,0.0,0.9,0.9,11,0,11.0,1,0,0,"(15, 2)",0,0.0,,,full_trust,1,RECONNAISSANCE,1,"(20, 38)",False,1,False,10
0,0.0,True,0.0,0.9,0.9,11,0,11.0,1,0,0,"(13, 50)",0,0.0,,,full_trust,1,RECONNAISSANCE,1,"(10, 49)",False,2,False,10
0,0.0,True,0.0,0.9,0.9,16,0,16.0,2,0,0,"(2, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,2,"(13, 11)",False,0,False,15
0,0.0,True,0.0,0.9,0.9,16,0,16.0,1,0,0,"(15, 2)",0,0.0,,,full_trust,1,RECONNAISSANCE,1,"(15, 38)",False,1,False,15
0,0.0,True,0.0,0.9,0.9,15,0,15.0,2,0,0,"(33, 9)",0,0.0,,,full_trust,2,RECONNAISSANCE,2,"(13, 50)",False,2,False,15
0,0.0,True,0.0,0.9,0.9,21,0,21.0,2,0,0,"(2, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,2,"(15, 14)",False,0,False,20
0,0.0,True,0.0,0.9,0.9,21,0,21.0,1,0,0,"(15, 2)",0,0.0,,,full_trust,1,RECONNAISSANCE,1,"(15, 33)",False,1,False,20
0,0.0,True,0.0,0.9,0.9,20,0,20.0,2,0,0,"(33, 9)",0,0.0,,,full_trust,2,RECONNAISSANCE,2,"(14, 46)",False,2,False,20
0,0.0,True,0.0,0.9,0.9,26,0,26.0,4,0,0,"(2, 50)",0,0.0,,,full_trust,4,RECONNAISSANCE,4,"(14, 18)",False,0,False,25
0,0.0,True,0.0,0.9,0.9,26,0,26.0,1,0,0,"(15, 2)",0,0.0,,,full_trust,1,RECONNAISSANCE,2,"(15, 28)",False,1,False,25
0,0.0,True,0.0,0.9,0.9,25,0,25.0,3,0,0,"(33, 9)",0,0.0,,,full_trust,3,RECONNAISSANCE,3,"(16, 43)",False,2,False,25
0,0.0,True,0.0,0.9,0.9,31,0,31.0,5,0,0,"(2, 50)",0,0.0,,,full_trust,5,RECONNAISSANCE,5,"(13, 22)",False,0,False,30
0,0.0,True,0.0,0.9007329787967093,0.9055409989901085,31,0,31.0,1,0,0,"(15, 2)",0,0.0,,,full_trust,1,RECONNAISSANCE,2,"(15, 23)",False,1,False,30
0,0.0,True,0.0,0.9,0.9,30,0,30.0,3,0,0,"(33, 9)",0,0.0,,,full_trust,3,RECONNAISSANCE,3,"(18, 40)",False,2,False,30
0,0.0,True,0.0,0.9,0.9,36,0,36.0,5,0,0,"(2, 50)",0,0.0,,,full_trust,5,RECONNAISSANCE,5,"(12, 26)",False,0,False,35
0,0.0,True,0.0,0.9026945061335087,0.911604144971335,36,0,36.0,1,0,0,"(15, 2)",0,0.0,,,full_trust,1,RECONNAISSANCE,2,"(15, 18)",False,1,False,35
0,0.0,True,0.0,0.9,0.9,35,0,35.0,3,0,0,"(33, 9)",0,0.0,,,full_trust,3,RECONNAISSANCE,3,"(19, 36)",False,2,False,35
0,0.0,True,0.0,0.9,0.9,41,0,41.0,5,0,0,"(2, 50)",0,0.0,,,full_trust,5,RECONNAISSANCE,5,"(8, 27)",False,0,False,40
0,0.0,True,0.0,0.9052976515626878,0.9158057745915346,41,0,41.0,1,0,0,"(15, 2)",0,0.0,,,full_trust,1,RECONNAISSANCE,2,"(15, 13)",False,1,False,40
0,0.0,True,0.0,0.9002557090725174,0.9026458242978241,40,0,40.0,3,0,0,"(33, 9)",0,0.0,,,full_trust,3,RECONNAISSANCE,3,"(19, 31)",False,2,False,40
0,0.0,True,0.0,0.9,0.9,46,0,46.0,5,0,0,"(2, 50)",0,0.0,,,full_trust,5,RECONNAISSANCE,5,"(3, 27)",False,0,False,45
0,0.0,True,0.0,0.9082245024920909,0.9196534835748462,46,0,46.0,1,0,0,"(15, 2)",0,0.0,,,full_trust,1,RECONNAISSANCE,2,"(15, 8)",False,1,False,45
0,0.0,True,0.0,0.9014386454456478,0.9071632265923132,45,0,45.0,3,0,0,"(33, 9)",0,0.0,,,full_trust,3,RECONNAISSANCE,3,"(19, 26)",False,2,False,45
0,0.0,True,0.0,0.9,0.9,51,0,51.0,5,0,0,"(2, 50)",0,0.0,,,full_trust,5,RECONNAISSANCE,6,"(3, 32)",False,0,False,50
0,0.0,True,0.0,0.9100419300675111,0.9216684819013565,51,0,51.0,1,0,0,"(15, 2)",0,0.0,,,full_trust,1,RECONNAISSANCE,3,"(15, 3)",False,1,False,50
0,0.0,True,0.0,0.903292404275744,0.9111277262668899,50,0,50.0,3,0,0,"(33, 9)",0,0.0,,,full_trust,3,RECONNAISSANCE,4,"(19, 21)",False,2,False,50
0,0.0,True,0.0,0.9,0.9,56,0,56.0,5,0,0,"(2, 50)",0,0.0,,,full_trust,5,RECONNAISSANCE,6,"(3, 37)",False,0,False,55
0,0.0,True,0.0,0.9100419300675111,0.9216684819013565,55,0,55.0,2,0,0,"(13, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,4,"(15, 5)",False,1,False,55
0,0.0,True,0.0,0.9055986247730288,0.9149302211407774,55,0,55.0,3,0,0,"(33, 9)",0,0.0,,,full_trust,3,RECONNAISSANCE,4,"(20, 17)",False,2,False,55
0,0.0,True,0.0,0.9,0.9,61,0,61.0,5,0,0,"(2, 50)",0,0.0,,,full_trust,5,RECONNAISSANCE,6,"(3, 42)",False,0,False,60
0,0.0,True,0.0,0.9100419300675111,0.9216684819013565,60,0,60.0,2,0,0,"(13, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,4,"(15, 10)",False,1,False,60
0,0.0,True,0.0,0.9055986247730288,0.9149302211407774,60,0,60.0,3,0,0,"(33, 9)",0,0.0,,,full_trust,3,RECONNAISSANCE,4,"(24, 16)",False,2,False,60
0,0.0,True,0.0,0.9,0.9,66,0,66.0,5,0,0,"(2, 50)",0,0.0,,,full_trust,5,RECONNAISSANCE,6,"(3, 47)",False,0,False,65
0,0.0,True,0.0,0.9100419300675111,0.9216684819013565,65,0,65.0,2,0,0,"(13, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,4,"(15, 15)",False,1,False,65
0,0.0,True,0.0,0.9055986247730288,0.9149302211407774,65,0,65.0,3,0,0,"(33, 9)",0,0.0,,,full_trust,3,RECONNAISSANCE,4,"(25, 12)",False,2,False,65
0,0.0,True,0.0,0.9,0.9,70,0,70.0,6,0,0,"(33, 28)",0,0.0,,,full_trust,6,RECONNAISSANCE,7,"(2, 50)",False,0,False,70
0,0.0,True,0.0,0.9106514957357374,0.9222332434320387,70,0,70.0,2,0,0,"(13, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,4,"(14, 19)",False,1,False,70
0,0.0,True,0.0,0.9055986247730288,0.9149302211407774,70,0,70.0,3,0,0,"(33, 9)",0,0.0,,,full_trust,3,RECONNAISSANCE,4,"(27, 9)",False,2,False,70
0,0.0,True,0.0,0.9,0.9,75,0,75.0,7,0,0,"(33, 28)",0,0.0,,,full_trust,7,RECONNAISSANCE,8,"(4, 47)",False,0,False,75
0,0.0,True,0.0,0.9137398485194954,0.9255475016582407,75,0,75.0,2,0,0,"(13, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,5,"(14, 24)",False,1,False,75
0,0.0,True,0.0,0.9055986247730288,0.9149302211407774,75,0,75.0,3,0,0,"(33, 9)",0,0.0,,,full_trust,3,RECONNAISSANCE,5,"(32, 9)",False,2,False,75
0,0.0,True,0.0,0.9,0.9,80,0,80.0,7,0,0,"(33, 28)",0,0.0,,,full_trust,7,RECONNAISSANCE,8,"(4, 42)",False,0,False,80
0,0.0,True,0.0,0.916227378489938,0.9279830668016055,80,0,80.0,2,0,0,"(13, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,5,"(14, 29)",False,1,False,80
0,0.0,True,0.0,0.9055986247730288,0.9149302211407774,79,0,79.0,4,0,1,"(2, 20)",0,0.0,77.0,62.0,full_trust,4,RECONNAISSANCE,6,"(30, 9)",False,2,False,80
0,0.0,True,0.0,0.9,0.9,85,0,85.0,7,0,0,"(33, 28)",0,0.0,,,full_trust,7,RECONNAISSANCE,8,"(4, 37)",False,0,False,85
0,0.0,True,0.0,0.916227378489938,0.9279830668016055,85,0,85.0,2,0,0,"(13, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,5,"(14, 34)",False,1,False,85
0,0.0,True,0.0,0.9055986247730288,0.9149302211407774,84,0,84.0,4,0,1,"(2, 20)",0,0.0,77.0,62.0,full_trust,4,RECONNAISSANCE,6,"(28, 12)",False,2,False,85
0,0.0,True,0.0,0.9,0.9,90,0,90.0,7,0,0,"(33, 28)",0,0.0,,,full_trust,7,RECONNAISSANCE,8,"(4, 32)",False,0,False,90
0,0.0,True,0.0,0.9168418795275546,0.9285173992422696,90,0,90.0,2,0,0,"(13, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,5,"(14, 39)",False,1,False,90
0,0.0,True,0.0,0.9055986247730288,0.9149302211407774,89,0,89.0,4,0,1,"(2, 20)",0,0.0,77.0,62.0,full_trust,4,RECONNAISSANCE,6,"(26, 15)",False,2,False,90
0,0.0,True,0.0,0.9,0.9,95,0,95.0,7,0,0,"(33, 28)",0,0.0,,,full_trust,7,RECONNAISSANCE,8,"(7, 30)",False,0,False,95
0,0.0,True,0.0,0.9168418795275546,0.9285173992422696,95,0,95.0,2,0,0,"(13, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,5,"(13, 43)",False,1,False,95
0,0.0,True,0.0,0.9055986247730288,0.9149302211407774,94,0,94.0,4,0,1,"(2, 20)",0,0.0033519553072625698,77.0,62.0,full_trust,4,RECONNAISSANCE,6,"(23, 17)",False,2,False,95
0,0.0,True,0.0,0.9,0.9,100,0,100.0,7,0,0,"(33, 28)",0,0.0,,,full_trust,7,RECONNAISSANCE,9,"(10, 28)",False,0,False,100
0,0.0,True,0.0,0.9186684877341528,0.9301983289900329,100,0,100.0,2,0,0,"(13, 50)",0,0.0,,,full_trust,2,RECONNAISSANCE,6,"(13, 48)",False,1,False,100
0,0.0,True,0.0,0.9055986247730288,0.9149302211407774,99,0,99.0,4,0,1,"(2, 20)",0,0.00558659217877095,77.0,62.0,full_trust,4,RECONNAISSANCE,7,"(19, 18)",False,2,False,100
0,0.0,True,0.0,0.9,0.9,105,0,105.0,7,0,0,"(33, 28)",0,0.0,,,full_trust,7,RECONNAISSANCE,9,"(13, 28)",False,0,False,105
0,0.0,True,0.0,0.9186684877341528,0.9301983289900329,104,0,104.0,3,0,1,"(33, 9)",0,0.0,103.0,51.0,full_trust,3,RECONNAISSANCE,7,"(13, 48)",False,1,False,105
0,0.0,True,0.0,0.907085802898366,0.9166373685798999,104,0,104.0,5,0,1,"(2, 20)",0,0.00558659217877095,77.0,62.0,full_trust,5,RECONNAISSANCE,8,"(16, 20)",False,2,False,105
0,0.0,True,0.0,0.9,0.9,110,0,110.0,7,0,0,"(33, 28)",0,0.0,,,full_trust,7,RECONNAISSANCE,9,"(18, 28)",False,0,False,110
