all_benign_distrust_attacker,attack_actions,attack_extra_path_length_max,attack_extra_path_length_mean,attack_extra_path_length_total,attack_fraction_route_affected,attack_fraction_samples_influenced,attack_induced_path_changes,attack_mean_attacker_route_cost,attack_mean_influential_fake_cells,attack_route_penalty_max,attack_route_penalty_mean,attack_route_penalty_total,attacked_obstacle_episodes_deferred,attacker_min_source_memory_by_robot,attacker_min_source_memory_mean,attacker_min_trust_by_robot,attacker_min_trust_mean,attacks_evaluated_for_route_impact,benign_blocked_moves,benign_blocked_world,benign_deliveries_after_attack,benign_deliveries_after_distrust,benign_deliveries_by_robot,benign_delivery_cycle_duration_mean_steps,benign_delivery_cycle_duration_median_steps,benign_delivery_cycle_duration_p95_steps,benign_delivery_time_mean_steps,benign_loaded_delivery_duration_mean_steps,benign_loaded_delivery_duration_median_steps,benign_loaded_delivery_duration_p95_steps,benign_movement_steps,benign_no_path_steps,benign_path_changes,benign_planning_checks,benign_productive_replans,benign_success_rate,benign_total_deliveries_completed,benign_total_distance,benign_total_replans,benign_traffic_wait_steps,corridor_entry_denied,corridor_reservations_released,corridor_reservations_started,deadlocks_detected,deadlocks_recovered,deliveries_during_attack,deliveries_during_recon,deliveries_during_recovery,deliveries_per_1000_steps,distance_per_delivery,distrusted_benign_robot_count,engine,fake_obstacle_path_changes,fake_obstacle_replan_checks,false_acceptance_count,false_acceptance_rate,false_clearance_path_changes,false_clearance_replan_checks,final_attacker_trust_mean,fresh_contradictions,head_on_swap_conflicts_detected,idle_parking_events,intent_commit_mismatches,malicious_contradiction_batches,malicious_report_deliveries,malicious_report_path_changes,malicious_report_replan_checks,malicious_reports_accepted,malicious_reports_influential,malicious_reports_operationally_ignored,malicious_verified_false_reports,manifest_hash,map_error_final,map_error_mean,map_hash,mean_influential_fake_cells_during_attack,method,per_robot_idle_steps,prevented_robot_conflicts,productive_replan_ratio,recovery_start_attacker_trust_mean,recovery_time_steps,recovery_trust_gain,replans_during_attack,replans_per_delivery,reservation_conflicts_detected,robot_on_route_path_changes,robot_on_route_replan_checks,robot_overlap_violations,scenario_manifest_hash,seed,stale_reassertion_path_changes,stale_reassertion_replan_checks,steps_completed,steps_route_affected_by_attacker,temporary_obstacle_deferred_activation_steps,temporary_obstacle_episodes_deferred,temporary_obstacle_path_changes,temporary_obstacle_replan_checks,time_to_all_benign_distrust,time_to_distrust_by_robot,time_to_distrust_malicious_robot,traffic_event_counts,traffic_replans,traffic_replans_suppressed,traffic_wait_steps_during_attack,traffic_waits_per_delivery,traffic_yield_events,traffic_yields_completed,vertex_conflicts_detected
1,386,22.0,1.6216216216216217,60.0,0.12941176470588237,0.12941176470588237,10.0,1.1610461590284862,4.144117647058824,37.869508437642864,4.0361078772135714,149.33599145690215,0,"{1: 0.04559081525997877, 2: 0.08965422360262403}",0.0676225194313014,"{1: 0.04559081525997877, 2: 0.08965422360262403}",0.0676225194313014,37,0.0,0,53.0,45.0,"{1: 30, 2: 28}",86.06896551724138,84.5,118.75,47.775862068965516,47.775862068965516,50.0,72.0,4868,1.0,255.0,419.0,255,0.29,58.0,4868.0,255,15.0,1,0,0,0.0,0,40.0,5.0,12.0,23.2,83.93103448275862,2.0,modular_native,9.0,9.0,753,0.9753886010362695,0.0,0.0,0.8824747169501865,227,20,0,0.0,104,772,9.0,9.0,772,753,19.0,227,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.016022620169651274,0.029148610260062664,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,4.144117647058824,latest_report,{},33,1.0,0.4115750143286183,0,0.47089970262156833,95.0,4.396551724137931,6,0.0,0.0,0.0,b3192aad2aaaa4e0ad0cb58bd2076c4fbb1be4de059e093a534b30058854d277,18,0.0,0.0,2500,396.0,7,2,25.0,25.0,806.0,"{1: 806, 2: 493}",493.0,"{'vertex_conflicts_detected': 7, 'head_on_swap_conflicts_detected': 20, 'reservation_conflicts_detected': 6, 'traffic_yield_events': 10, 'traffic_yields_completed': 10, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 1}",13.0,0,9.0,0.25862068965517243,10,10,7
1,386,4.0,0.10810810810810811,4.0,0.03235294117647059,0.03235294117647059,2.0,0.18187529237066738,0.5779411764705882,4.640108686719259,0.53373418087114,19.74816469223218,0,"{1: 0.06819003433215776, 2: 0.11261973493114848}",0.09040488463165311,"{1: 0.06819003433215776, 2: 0.11261973493114848}",0.09040488463165311,37,0.0,0,54.0,48.0,"{1: 30, 2: 29}",83.98305084745763,83.0,118.59999999999997,46.49152542372882,46.49152542372882,48.0,67.0,4863,0.0,249.0,411.0,249,0.295,59.0,4863.0,249,19.0,3,0,0,0.0,0,41.0,5.0,12.0,23.599999999999998,82.42372881355932,2.0,modular_native,3.0,5.0,772,1.0,0.0,0.0,0.9007366809332837,296,18,0,0.0,106,772,3.0,5.0,772,772,0.0,289,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.016444444444444442,0.028331302663838,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.5779411764705882,majority_vote,{},33,1.0,0.47291395502513145,0,0.42663050213109,82.0,4.220338983050848,8,0.0,0.0,0.0,b3192aad2aaaa4e0ad0cb58bd2076c4fbb1be4de059e093a534b30058854d277,18,0.0,0.0,2500,103.0,17,4,23.0,23.0,728.0,"{1: 728, 2: 495}",495.0,"{'vertex_conflicts_detected': 7, 'head_on_swap_conflicts_detected': 18, 'reservation_conflicts_detected': 8, 'traffic_yield_events': 9, 'traffic_yields_completed': 9, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 3}",13.0,0,8.0,0.3220338983050847,9,9,7
1,386,4.0,0.21621621621621623,8.0,0.04411764705882353,0.04411764705882353,8.0,0.2698413041263597,1.0926470588235293,16.610521282261033,1.6382912076706255,60.61677468381314,0,"{1: 0.013424891112622562, 2: 0.09502817431906617}",0.054226532715844364,"{1: 0.013424891112622562, 2: 0.09502817431906617}",0.054226532715844364,37,0.0,0,54.0,51.0,"{1: 30, 2: 29}",83.64406779661017,83.0,114.1,46.152542372881356,46.152542372881356,48.0,62.49999999999997,4865,0.0,264.0,410.0,264,0.295,59.0,4865.0,264,16.0,2,0,0,0.0,0,41.0,5.0,12.0,23.599999999999998,82.45762711864407,2.0,modular_native,8.0,9.0,772,1.0,0.0,0.0,0.8578691108353542,303,18,0,0.0,119,772,8.0,9.0,772,772,0.0,302,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.002803738317757009,0.028938337067574208,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.0926470588235293,full_trust,{},30,1.0,0.32066378474404844,26,0.536425791204017,92.0,4.47457627118644,7,0.0,0.0,0.0,b3192aad2aaaa4e0ad0cb58bd2076c4fbb1be4de059e093a534b30058854d277,18,0.0,0.0,2500,170.0,13,5,33.0,33.0,449.0,"{1: 428, 2: 449}",428.0,"{'vertex_conflicts_detected': 5, 'head_on_swap_conflicts_detected': 18, 'reservation_conflicts_detected': 7, 'traffic_yield_events': 9, 'traffic_yields_completed': 9, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 2}",10.0,0,6.0,0.2711864406779661,9,9,5
1,386,0.0,0.0,0.0,0.0014705882352941176,0.0014705882352941176,2.0,0.0036686518191304113,0.06470588235294118,1.225489163456082,0.05960358914424143,2.205332798336933,0,"{1: 0.022302326504321277, 2: 0.06393699147320277}",0.04311965898876202,"{1: 0.022302326504321277, 2: 0.06393699147320277}",0.04311965898876202,37,0.0,0,53.0,50.0,"{1: 30, 2: 28}",84.84482758620689,84.0,114.15,47.46551724137931,47.46551724137931,48.5,67.0,4860,0.0,254.0,437.0,254,0.29,58.0,4860.0,254,23.0,1,0,0,0.0,0,41.0,5.0,12.0,23.2,83.79310344827586,2.0,modular_native,1.0,2.0,376,0.48704663212435234,0.0,0.0,0.8834145749555766,296,36,0,0.0,120,772,2.0,3.0,772,376,396.0,296,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.007266121707538601,0.02631976317297305,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.06470588235294118,trust_fused,{},43,1.0,0.41429731226184224,0,0.4662785170469359,97.0,4.379310344827586,2,0.0,0.0,0.0,b3192aad2aaaa4e0ad0cb58bd2076c4fbb1be4de059e093a534b30058854d277,18,1.0,1.0,2500,10.0,10,4,33.0,33.0,449.0,"{1: 428, 2: 449}",428.0,"{'vertex_conflicts_detected': 5, 'head_on_swap_conflicts_detected': 36, 'reservation_conflicts_detected': 2, 'traffic_yield_events': 18, 'traffic_yields_completed': 18, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 1}",14.0,0,8.0,0.39655172413793105,18,18,5
1,386,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34524659810455205,0.009330989137960866,0.34524659810455205,0,"{1: 0.022302326504321277, 2: 0.06396831530564022}",0.04313532090498075,"{1: 0.022302326504321277, 2: 0.06396831530564022}",0.04313532090498075,37,0.0,0,53.0,50.0,"{1: 30, 2: 28}",84.84482758620689,84.0,114.15,47.46551724137931,47.46551724137931,48.5,67.0,4860,0.0,248.0,432.0,248,0.29,58.0,4860.0,248,23.0,1,0,0,0.0,0,41.0,5.0,12.0,23.2,83.79310344827586,2.0,modular_native,0.0,0.0,325,0.4209844559585492,0.0,0.0,0.883414686471319,296,36,0,0.0,120,772,1.0,1.0,772,325,447.0,296,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.007266121707538601,0.02597410783127223,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.0,source_memory,{},43,1.0,0.41429820446253607,0,0.46627774074900685,92.0,4.275862068965517,2,0.0,0.0,0.0,b3192aad2aaaa4e0ad0cb58bd2076c4fbb1be4de059e093a534b30058854d277,18,1.0,1.0,2500,2.0,10,4,31.0,31.0,449.0,"{1: 428, 2: 449}",428.0,"{'vertex_conflicts_detected': 5, 'head_on_swap_conflicts_detected': 36, 'reservation_conflicts_detected': 2, 'traffic_yield_events': 18, 'traffic_yields_completed': 18, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 1}",14.0,0,8.0,0.39655172413793105,18,18,5
1,389,20.0,1.170731707317073,48.0,0.06764705882352941,0.06764705882352941,10.0,1.1535515617553396,2.2191176470588236,51.032475373571515,3.9412757491115182,161.59230571357224,0,"{1: 0.0027990864923999356, 2: 0.03233667024823853}",0.017567878370319232,"{1: 0.0027990864923999356, 2: 0.03233667024823853}",0.017567878370319232,41,0.0,0,44.0,39.0,"{1: 25, 2: 25}",98.54,88.0,173.5999999999999,57.34,57.34,53.5,75.74999999999999,4384,488.0,284.0,900.0,284,0.25,50.0,4384.0,284,27.0,0,0,0,0.0,0,33.0,6.0,11.0,20.0,87.68,2.0,modular_native,10.0,10.0,767,0.9858611825192802,0.0,0.0,0.8636944368830392,221,38,0,0.0,126,778,11.0,11.0,778,767,11.0,217,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.01386285395180343,0.03756804337128251,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,2.2191176470588236,latest_report,{},56,1.0,0.3735824729973827,0,0.48626056175724286,129.0,5.68,6,0.0,0.0,0.0,812851f6db89c410c17dd69bcf38bd0a120c8501fa9507e635a59d785ac6083d,19,1.0,1.0,2500,196.0,100,2,47.0,47.0,528.0,"{1: 528, 2: 440}",440.0,"{'vertex_conflicts_detected': 12, 'head_on_swap_conflicts_detected': 38, 'reservation_conflicts_detected': 6, 'traffic_yield_events': 19, 'traffic_yields_completed': 19, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",19.0,0,15.0,0.54,19,19,12
1,389,6.0,0.24390243902439024,10.0,0.039705882352941174,0.039705882352941174,4.0,0.713155248534435,1.348529411764706,16.378662873809994,1.13706722488778,46.61975622039898,0,"{1: 0.002314491132323878, 2: 0.026971548832040438}",0.014643019982182159,"{1: 0.002314491132323878, 2: 0.026971548832040438}",0.014643019982182159,41,0.0,0,48.0,43.0,"{1: 25, 2: 29}",91.18518518518519,85.5,135.79999999999995,54.22222222222222,54.22222222222222,53.5,77.89999999999992,4591,143.0,276.0,705.0,276,0.27,54.0,4591.0,276,156.0,1,0,0,1.0,1,36.0,6.0,12.0,21.6,85.01851851851852,2.0,modular_native,6.0,9.0,778,1.0,0.0,0.0,0.8995629249488757,250,18,0,0.0,143,778,6.0,9.0,778,778,0.0,250,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.020054694621695533,0.035947229890118684,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.348529411764706,majority_vote,{},174,1.0,0.5317254279572432,0,0.3678374969916324,117.0,5.111111111111111,148,0.0,0.0,0.0,812851f6db89c410c17dd69bcf38bd0a120c8501fa9507e635a59d785ac6083d,19,0.0,0.0,2500,141.0,0,0,43.0,43.0,512.0,"{1: 512, 2: 440}",440.0,"{'vertex_conflicts_detected': 8, 'head_on_swap_conflicts_detected': 18, 'reservation_conflicts_detected': 148, 'traffic_yield_events': 10, 'traffic_yields_completed': 9, 'deadlocks_detected': 1, 'deadlocks_recovered': 1, 'robot_overlap_violations': 0, 'corridor_entry_denied': 1}",12.0,0,146.0,2.888888888888889,10,9,8
1,389,6.0,0.34146341463414637,14.0,0.05,0.05,6.0,0.8345902779160467,1.4823529411764707,31.873225343283707,2.6956897356099825,110.52327916000928,0,"{1: 0.0012789822207478984, 2: 0.03210707589355738}",0.01669302905715264,"{1: 0.0012789822207478984, 2: 0.03210707589355738}",0.01669302905715264,41,0.0,0,51.0,44.0,"{1: 27, 2: 30}",85.98245614035088,85.0,133.79999999999995,48.94736842105263,48.94736842105263,53.0,73.39999999999995,4860,0.0,274.0,427.0,274,0.285,57.0,4860.0,274,25.0,2,0,0,0.0,0,39.0,6.0,12.0,22.8,85.26315789473684,2.0,modular_native,9.0,9.0,778,1.0,0.0,0.0,0.8399548153062484,227,22,0,0.0,130,778,9.0,9.0,778,778,0.0,219,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.027288732394366196,0.03611033361732224,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.4823529411764707,full_trust,{},33,1.0,0.34491589635622233,0,0.4889251444252659,104.0,4.807017543859649,6,0.0,0.0,0.0,812851f6db89c410c17dd69bcf38bd0a120c8501fa9507e635a59d785ac6083d,19,0.0,0.0,2500,164.0,7,2,42.0,42.0,681.0,"{1: 681, 2: 436}",436.0,"{'vertex_conflicts_detected': 5, 'head_on_swap_conflicts_detected': 22, 'reservation_conflicts_detected': 6, 'traffic_yield_events': 11, 'traffic_yields_completed': 11, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 2}",13.0,0,8.0,0.43859649122807015,11,11,5
1,389,6.0,0.14634146341463414,6.0,0.016176470588235296,0.016176470588235296,1.0,0.23598750224777026,0.4,12.946997080124234,0.7960880306256566,32.63960925565192,1,"{1: 0.003727961676929747, 2: 0.033496002578686436}",0.018611982127808093,"{1: 0.003727961676929747, 2: 0.033496002578686436}",0.018611982127808093,41,0.0,0,50.0,43.0,"{1: 27, 2: 29}",87.69642857142857,85.5,133.75,50.67857142857143,50.67857142857143,53.5,77.0,4863,0.0,351.0,515.0,351,0.28,56.0,4863.0,351,24.0,0,0,0,0.0,0,38.0,6.0,12.0,22.4,86.83928571428571,2.0,modular_native,3.0,3.0,321,0.41259640102827766,0.0,0.0,0.8533893597432651,209,26,0,0.0,117,778,3.0,3.0,778,321,457.0,209,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.024207746478873242,0.03357155710223714,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.4,trust_fused,{},38,1.0,0.3695731938576122,0,0.48029269559798643,178.0,6.267857142857143,5,0.0,0.0,0.0,812851f6db89c410c17dd69bcf38bd0a120c8501fa9507e635a59d785ac6083d,19,0.0,0.0,2500,55.0,4,2,140.0,140.0,681.0,"{1: 681, 2: 436}",436.0,"{'vertex_conflicts_detected': 7, 'head_on_swap_conflicts_detected': 26, 'reservation_conflicts_detected': 5, 'traffic_yield_events': 13, 'traffic_yields_completed': 13, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",13.0,0,6.0,0.42857142857142855,13,13,7
1,389,0.0,0.0,0.0,0.0,0.0,0.0,0.07787564622677325,0.0,10.250730257463324,0.25001781115764204,10.250730257463324,0,"{1: 0.0046234459431574535, 2: 0.014685907861337963}",0.009654676902247708,"{1: 0.0046234459431574535, 2: 0.014685907861337963}",0.009654676902247708,41,0.0,0,50.0,42.0,"{1: 27, 2: 29}",87.69642857142857,86.0,133.75,50.892857142857146,50.892857142857146,53.0,82.25,4861,0.0,367.0,530.0,367,0.28,56.0,4861.0,367,26.0,0,0,0,0.0,0,38.0,6.0,12.0,22.4,86.80357142857143,2.0,modular_native,2.0,2.0,254,0.3264781491002571,0.0,0.0,0.8541902945081321,202,30,0,0.0,117,778,2.0,2.0,778,254,524.0,202,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.024207746478873242,0.03427208469654774,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.0,source_memory,{},43,1.0,0.37407671195586545,,0.4766124330123654,185.0,6.553571428571429,6,0.0,0.0,0.0,812851f6db89c410c17dd69bcf38bd0a120c8501fa9507e635a59d785ac6083d,19,0.0,0.0,2500,0.0,2,1,148.0,148.0,826.0,"{1: 826, 2: 436}",436.0,"{'vertex_conflicts_detected': 7, 'head_on_swap_conflicts_detected': 30, 'reservation_conflicts_detected': 6, 'traffic_yield_events': 15, 'traffic_yields_completed': 15, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",17.0,0,6.0,0.4642857142857143,15,15,7
