baseline_method,ci95_difference_high,ci95_difference_low,direction,focal_method,improvement_ci95_high,improvement_ci95_low,improvement_difference,mean_difference,metric,n_pairs,sample_std_difference,sem_difference
latest_report,41.1186142092,-35.1186142092,higher_better,source_memory,41.1186142092,-35.1186142092,3.0,3.0,benign_total_deliveries_completed,2,4.242640687119285,2.9999999999999996
latest_report,41.1186142092,-35.1186142092,higher_better,source_memory,41.1186142092,-35.1186142092,3.0,3.0,benign_deliveries_after_attack,2,4.242640687119285,2.9999999999999996
latest_report,16.7062047364,-8.7062047364,higher_better,source_memory,16.7062047364,-8.7062047364,4.0,4.0,benign_deliveries_after_distrust,2,1.4142135623730951,1.0
latest_report,0.20559307104600016,-0.17559307104600014,higher_better,source_memory,0.20559307104600016,-0.17559307104600014,0.015000000000000013,0.015000000000000013,benign_success_rate,2,0.021213203435596444,0.015000000000000012
latest_report,16.44744568367999,-14.047445683679992,higher_better,source_memory,16.44744568367999,-14.047445683679992,1.1999999999999993,1.1999999999999993,deliveries_per_1000_steps,2,1.6970562748477132,1.1999999999999993
latest_report,2849.4608533133996,-3338.4608533133996,lower_better,source_memory,3338.4608533133996,-2849.4608533133996,244.5,-244.5,benign_no_path_steps,2,344.36100243784864,243.49999999999997
latest_report,4.1845706479246525,-5.19893025383599,lower_better,source_memory,5.19893025383599,-4.1845706479246525,0.5071798029556689,-0.5071798029556689,distance_per_delivery,2,0.5221966162639484,0.3692487684729073
latest_report,55.07939105414142,-67.14710041374735,lower_better,source_memory,67.14710041374735,-55.07939105414142,6.033854679802964,-6.033854679802964,benign_delivery_cycle_duration_mean_steps,2,6.801966657281403,4.809716748768473
latest_report,8.2796535523,-10.7796535523,lower_better,source_memory,10.7796535523,-8.2796535523,1.25,-1.25,benign_delivery_cycle_duration_median_steps,2,1.0606601717798212,0.7499999999999999
latest_report,201.7218584790495,-246.17185847904943,lower_better,source_memory,246.17185847904943,-201.7218584790495,22.22499999999995,-22.22499999999995,benign_delivery_cycle_duration_p95_steps,2,24.925514036825742,17.624999999999957
latest_report,35.60896225237693,-42.36644993710598,lower_better,source_memory,42.36644993710598,-35.60896225237693,3.378743842364532,-3.378743842364532,benign_loaded_delivery_duration_mean_steps,2,4.339371501471751,3.0683990147783256
latest_report,5.3531023682,-7.3531023682,lower_better,source_memory,7.3531023682,-5.3531023682,1.0,-1.0,benign_loaded_delivery_duration_median_steps,2,0.7071067811865476,0.5
latest_report,73.81067723430007,-72.31067723430007,lower_better,source_memory,72.31067723430007,-73.81067723430007,-0.7500000000000071,0.7500000000000071,benign_loaded_delivery_duration_p95_steps,2,8.131727983645305,5.750000000000006
latest_report,3315.754648577,-2846.754648577,lower_better,source_memory,2846.754648577,-3315.754648577,-234.5,234.5,benign_total_distance,2,342.94678887547553,242.49999999999997
latest_report,2254.7382070206,-2611.7382070206,lower_better,source_memory,2611.7382070206,-2254.7382070206,178.5,-178.5,benign_planning_checks,2,270.82189719444773,191.5
latest_report,609.779213138,-533.779213138,lower_better,source_memory,533.779213138,-609.779213138,-38.0,38.0,benign_path_changes,2,63.63961030678928,45.0
latest_report,657.044724979,-550.044724979,diagnostic,source_memory,,,,53.5,temporary_obstacle_replan_checks,2,67.17514421272202,47.5
latest_report,657.044724979,-550.044724979,diagnostic,source_memory,,,,53.5,temporary_obstacle_path_changes,2,67.17514421272202,47.5
latest_report,0.0,0.0,diagnostic,source_memory,,,,0.0,robot_on_route_replan_checks,2,0.0,0.0
latest_report,0.0,0.0,diagnostic,source_memory,,,,0.0,robot_on_route_path_changes,2,0.0,0.0
latest_report,-2.1468976318,-14.8531023682,lower_better,source_memory,14.8531023682,2.1468976318,8.5,-8.5,malicious_report_replan_checks,2,0.7071067811865476,0.5
