all_benign_distrust_attacker,attack_actions,attack_extra_path_length_max,attack_extra_path_length_mean,attack_extra_path_length_total,attack_fraction_route_affected,attack_fraction_samples_influenced,attack_induced_path_changes,attack_mean_attacker_route_cost,attack_mean_influential_fake_cells,attack_route_penalty_max,attack_route_penalty_mean,attack_route_penalty_total,attacker_min_source_memory_by_robot,attacker_min_source_memory_mean,attacker_min_trust_by_robot,attacker_min_trust_mean,attacks_evaluated_for_route_impact,benign_blocked_moves,benign_blocked_world,benign_deliveries_after_attack,benign_deliveries_after_distrust,benign_deliveries_by_robot,benign_delivery_cycle_duration_mean_steps,benign_delivery_cycle_duration_median_steps,benign_delivery_cycle_duration_p95_steps,benign_delivery_time_mean_steps,benign_loaded_delivery_duration_mean_steps,benign_loaded_delivery_duration_median_steps,benign_loaded_delivery_duration_p95_steps,benign_movement_steps,benign_no_path_steps,benign_path_changes,benign_planning_checks,benign_productive_replans,benign_success_rate,benign_total_deliveries_completed,benign_total_distance,benign_total_replans,benign_traffic_wait_steps,corridor_entry_denied,corridor_reservations_released,corridor_reservations_started,deadlocks_detected,deadlocks_recovered,deliveries_during_attack,deliveries_during_recon,deliveries_during_recovery,deliveries_per_1000_steps,distance_per_delivery,distrusted_benign_robot_count,engine,fake_obstacle_path_changes,fake_obstacle_replan_checks,false_acceptance_count,false_acceptance_rate,false_clearance_path_changes,false_clearance_replan_checks,final_attacker_trust_mean,fresh_contradictions,head_on_swap_conflicts_detected,idle_parking_events,intent_commit_mismatches,malicious_contradiction_batches,malicious_report_deliveries,malicious_report_path_changes,malicious_report_replan_checks,malicious_reports_accepted,malicious_reports_influential,malicious_reports_operationally_ignored,malicious_verified_false_reports,manifest_hash,map_error_final,map_error_mean,map_hash,mean_influential_fake_cells_during_attack,method,per_robot_idle_steps,prevented_robot_conflicts,productive_replan_ratio,recovery_start_attacker_trust_mean,recovery_time_steps,recovery_trust_gain,replans_during_attack,replans_per_delivery,reservation_conflicts_detected,robot_on_route_path_changes,robot_on_route_replan_checks,robot_overlap_violations,scenario_manifest_hash,seed,stale_reassertion_path_changes,stale_reassertion_replan_checks,steps_completed,steps_route_affected_by_attacker,temporary_obstacle_path_changes,temporary_obstacle_replan_checks,time_to_all_benign_distrust,time_to_distrust_by_robot,time_to_distrust_malicious_robot,traffic_event_counts,traffic_replans,traffic_replans_suppressed,traffic_wait_steps_during_attack,traffic_waits_per_delivery,traffic_yield_events,traffic_yields_completed,vertex_conflicts_detected
1,559,8.0,0.3111111111111111,14.0,0.047058823529411764,0.047058823529411764,5.0,0.3274621255464178,2.2955882352941175,22.70022153919639,0.9200116177139683,41.40052279712857,"{1: 0.11453020879458653, 2: 0.044664588049812805}",0.07959739842219966,"{1: 0.11453020879458653, 2: 0.044664588049812805}",0.07959739842219966,45,0.0,0,44.0,43.0,"{1: 27, 2: 23}",98.56,96.5,136.49999999999991,53.96,53.96,49.0,68.29999999999998,4580,301.0,322.0,789.0,322,0.25,50.0,4580.0,322,18.0,3,0,0,0.0,0,32.0,5.0,12.0,20.0,91.6,2.0,modular_native,3.0,4.0,1118,1.0,0.0,0.0,0.9984025572341034,351,26,0,0.0,124,1118,5.0,6.0,1118,1118,0.0,351,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.030369718309859156,0.03378827001623034,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,2.2955882352941175,majority_vote,{},36,1.0,0.639713518171647,0,0.3586890390624564,164.0,6.44,5,0.0,0.0,0.0,74f201fafb6be5a1dc57697712c13080ebe02bf2938aaced0c2ecdccfc9871af,26,2.0,2.0,2500,170.0,113.0,113.0,411.0,"{1: 411, 2: 369}",369.0,"{'vertex_conflicts_detected': 5, 'head_on_swap_conflicts_detected': 26, 'reservation_conflicts_detected': 5, 'traffic_yield_events': 13, 'traffic_yields_completed': 13, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 3}",14.0,0,4.0,0.36,13,13,5
1,559,8.0,0.5333333333333333,24.0,0.03235294117647059,0.03235294117647059,9.0,0.5001631942695343,1.2073529411764705,47.995036304912645,2.8744104050261656,129.34846822617746,"{1: 0.06574499521686299, 2: 0.05688484137086506}",0.061314918293864026,"{1: 0.06574499521686299, 2: 0.05688484137086506}",0.061314918293864026,45,0.0,0,48.0,44.0,"{1: 28, 2: 26}",90.5925925925926,89.5,123.39999999999998,45.925925925925924,45.925925925925924,49.5,66.39999999999998,4872,1.0,276.0,439.0,276,0.27,54.0,4872.0,276,17.0,0,0,0,0.0,0,37.0,6.0,11.0,21.6,90.22222222222223,2.0,modular_native,6.0,10.0,1118,1.0,0.0,0.0,0.9998088519137881,323,20,0,0.0,150,1118,9.0,13.0,1118,1118,0.0,323,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.009525632222795666,0.03431827835959026,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.2073529411764705,full_trust,{},34,1.0,0.8596014859585303,0,0.14019789489258394,97.0,5.111111111111111,6,0.0,0.0,0.0,74f201fafb6be5a1dc57697712c13080ebe02bf2938aaced0c2ecdccfc9871af,26,3.0,3.0,2500,122.0,52.0,52.0,705.0,"{1: 705, 2: 370}",370.0,"{'vertex_conflicts_detected': 8, 'head_on_swap_conflicts_detected': 20, 'reservation_conflicts_detected': 6, 'traffic_yield_events': 10, 'traffic_yields_completed': 10, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",13.0,0,5.0,0.3148148148148148,10,10,8
1,559,2.0,0.044444444444444446,2.0,0.022058823529411766,0.022058823529411766,5.0,0.16002349117861955,1.011764705882353,16.930394024366564,0.864451740831715,38.900328337427176,"{1: 0.013858013194167969, 2: 0.05688484137086506}",0.035371427282516514,"{1: 0.013858013194167969, 2: 0.05688484137086506}",0.035371427282516514,45,0.0,0,45.0,41.0,"{1: 25, 2: 26}",96.03921568627452,91.0,142.5,48.86274509803921,48.86274509803921,46.0,72.0,4578,301.0,267.0,728.0,267,0.255,51.0,4578.0,267,18.0,3,0,0,0.0,0,33.0,6.0,12.0,20.400000000000002,89.76470588235294,2.0,modular_native,5.0,5.0,794,0.7101967799642218,0.0,0.0,0.9879519248969529,345,30,0,0.0,147,1118,5.0,5.0,1118,794,324.0,345,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.009780155875678716,0.03356395917306541,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.011764705882353,trust_fused,{},38,1.0,0.43827776399993956,0,0.5471940039079706,95.0,5.235294117647059,3,0.0,0.0,0.0,74f201fafb6be5a1dc57697712c13080ebe02bf2938aaced0c2ecdccfc9871af,26,0.0,0.0,2500,82.0,59.0,59.0,705.0,"{1: 705, 2: 370}",370.0,"{'vertex_conflicts_detected': 5, 'head_on_swap_conflicts_detected': 30, 'reservation_conflicts_detected': 3, 'traffic_yield_events': 15, 'traffic_yields_completed': 15, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 3}",10.0,0,14.0,0.35294117647058826,15,15,5
1,559,0.0,0.0,0.0,0.01764705882352941,0.01764705882352941,4.0,0.17582017380229556,0.7985294117647059,9.208863748635345,0.41881639884609867,18.84673794807444,"{1: 0.07786392397134463, 2: 0.05688484137086506}",0.06737438267110485,"{1: 0.07786392397134463, 2: 0.05688484137086506}",0.06737438267110485,45,0.0,0,50.0,46.0,"{1: 29, 2: 27}",89.08928571428571,90.0,123.75,45.42857142857143,45.42857142857143,47.0,65.25,4873,0.0,284.0,469.0,284,0.28,56.0,4873.0,284,15.0,0,0,0,0.0,0,37.0,6.0,12.0,22.4,87.01785714285714,2.0,modular_native,3.0,3.0,741,0.6627906976744186,0.0,0.0,0.9997823268324506,322,28,0,0.0,146,1118,4.0,4.0,1118,741,377.0,322,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.02,0.03198340796645342,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.7985294117647059,source_memory,{},39,1.0,0.8542401955406455,0,0.14554213129180515,110.0,5.071428571428571,3,0.0,0.0,0.0,74f201fafb6be5a1dc57697712c13080ebe02bf2938aaced0c2ecdccfc9871af,26,1.0,1.0,2500,74.0,49.0,49.0,705.0,"{1: 705, 2: 370}",370.0,"{'vertex_conflicts_detected': 8, 'head_on_swap_conflicts_detected': 28, 'reservation_conflicts_detected': 3, 'traffic_yield_events': 14, 'traffic_yields_completed': 14, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",14.0,0,7.0,0.26785714285714285,14,14,8
1,537,20.0,0.7555555555555555,34.0,0.09264705882352942,0.09264705882352942,8.0,0.8039950878451492,3.445588235294118,14.0,1.586625590185053,71.39815155832738,"{1: 0.08292453049011501, 2: 0.02126968983190458}",0.0520971101610098,"{1: 0.08292453049011501, 2: 0.02126968983190458}",0.0520971101610098,45,0.0,0,50.0,45.0,"{1: 29, 2: 27}",87.98214285714286,91.0,117.25,45.17857142857143,45.17857142857143,47.5,63.5,4873,0.0,249.0,430.0,249,0.28,56.0,4873.0,249,13.0,0,0,0,0.0,0,38.0,6.0,12.0,22.4,87.01785714285714,2.0,modular_native,5.0,7.0,1074,1.0,0.0,0.0,0.9996471345115687,329,20,0,0.0,122,1074,6.0,8.0,1074,1074,0.0,329,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.028193832599118944,0.02966361078623605,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,3.445588235294118,majority_vote,{},29,1.0,0.30851320444900077,0,0.691094518492376,102.0,4.446428571428571,3,0.0,0.0,0.0,eb4389a7b80f0d3742d7443e319a0dda383a5525f751a3684f4c83cdaaa37eaf,27,1.0,1.0,2500,294.0,25.0,25.0,571.0,"{1: 538, 2: 571}",538.0,"{'vertex_conflicts_detected': 6, 'head_on_swap_conflicts_detected': 20, 'reservation_conflicts_detected': 3, 'traffic_yield_events': 10, 'traffic_yields_completed': 10, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",11.0,0,7.0,0.23214285714285715,10,10,6
1,537,14.0,0.7555555555555555,34.0,0.08970588235294118,0.08970588235294118,10.0,1.042060436704319,3.4058823529411764,52.065164739567464,3.3595371771102904,151.17917296996308,"{1: 0.06261728811197471, 2: 0.035972380244644254}",0.04929483417830949,"{1: 0.06261728811197471, 2: 0.035972380244644254}",0.04929483417830949,45,0.0,0,48.0,43.0,"{1: 27, 2: 27}",90.5925925925926,94.5,120.0,47.111111111111114,47.111111111111114,46.5,66.04999999999998,4725,151.0,225.0,549.0,225,0.27,54.0,4725.0,225,14.0,0,0,0,0.0,0,36.0,6.0,12.0,21.6,87.5,2.0,modular_native,5.0,7.0,1074,1.0,0.0,0.0,0.9942320333581172,291,20,0,0.0,125,1074,5.0,7.0,1074,1074,0.0,291,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.012601260126012601,0.033281084283842376,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,3.4058823529411764,full_trust,{},28,1.0,0.4926942506648643,0,0.5009032444091615,93.0,4.166666666666667,2,0.0,0.0,0.0,eb4389a7b80f0d3742d7443e319a0dda383a5525f751a3684f4c83cdaaa37eaf,27,0.0,0.0,2500,267.0,23.0,23.0,573.0,"{1: 500, 2: 573}",500.0,"{'vertex_conflicts_detected': 6, 'head_on_swap_conflicts_detected': 20, 'reservation_conflicts_detected': 2, 'traffic_yield_events': 10, 'traffic_yields_completed': 10, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",11.0,0,7.0,0.25925925925925924,10,10,6
1,537,4.0,0.26666666666666666,12.0,0.052941176470588235,0.052941176470588235,8.0,0.4708299379057894,2.083823529411765,33.79237421343883,2.292281536136898,103.1526691261604,"{1: 0.08219422345160096, 2: 0.01593251375889622}",0.04906336860524859,"{1: 0.08219422345160096, 2: 0.01593251375889622}",0.04906336860524859,45,0.0,0,48.0,43.0,"{1: 26, 2: 28}",90.29629629629629,92.5,119.35,47.333333333333336,47.333333333333336,46.0,65.69999999999999,4726,150.0,232.0,556.0,232,0.27,54.0,4726.0,232,15.0,0,0,0,0.0,0,36.0,6.0,12.0,21.6,87.51851851851852,2.0,modular_native,5.0,8.0,862,0.8026070763500931,0.0,0.0,0.9992426107036425,298,20,0,0.0,127,1074,6.0,9.0,1074,862,212.0,298,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.016328331862312445,0.03146736942139843,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,2.083823529411765,trust_fused,{},32,1.0,0.7935124629605076,0,0.20569964555174053,86.0,4.296296296296297,6,0.0,0.0,0.0,eb4389a7b80f0d3742d7443e319a0dda383a5525f751a3684f4c83cdaaa37eaf,27,1.0,1.0,2500,167.0,24.0,24.0,573.0,"{1: 500, 2: 573}",500.0,"{'vertex_conflicts_detected': 6, 'head_on_swap_conflicts_detected': 20, 'reservation_conflicts_detected': 6, 'traffic_yield_events': 10, 'traffic_yields_completed': 10, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",10.0,0,7.0,0.2777777777777778,10,10,6
1,537,4.0,0.13333333333333333,6.0,0.026470588235294117,0.026470588235294117,4.0,0.12740879422502746,0.9411764705882353,11.26498056357687,0.48876113746339045,21.99425118585257,"{1: 0.08219422345160096, 2: 0.014972033616951015}",0.04858312853427599,"{1: 0.08219422345160096, 2: 0.014972033616951015}",0.04858312853427599,45,0.0,0,49.0,44.0,"{1: 27, 2: 28}",89.7090909090909,93.0,117.6,47.43636363636364,47.43636363636364,44.0,64.3,4718,152.0,239.0,577.0,239,0.275,55.0,4718.0,239,19.0,8,0,0,0.0,0,36.0,6.0,13.0,22.0,85.78181818181818,2.0,modular_native,2.0,2.0,771,0.7178770949720671,0.0,0.0,0.9999268632063951,344,16,0,0.0,135,1074,2.0,2.0,1074,771,303.0,344,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.01407811080835604,0.03011334117742729,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.9411764705882353,source_memory,{},27,1.0,0.7076497705667446,0,0.29227275442456274,88.0,4.345454545454546,4,0.0,0.0,0.0,eb4389a7b80f0d3742d7443e319a0dda383a5525f751a3684f4c83cdaaa37eaf,27,0.0,0.0,2500,90.0,22.0,22.0,573.0,"{1: 500, 2: 573}",500.0,"{'vertex_conflicts_detected': 7, 'head_on_swap_conflicts_detected': 16, 'reservation_conflicts_detected': 4, 'traffic_yield_events': 8, 'traffic_yields_completed': 8, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 8}",11.0,0,9.0,0.34545454545454546,8,8,7
1,556,20.0,0.8444444444444444,38.0,0.039705882352941174,0.039705882352941174,11.0,0.22131920147663806,1.361764705882353,40.36333125314514,2.6339281155933034,118.52676520169865,"{1: 0.0001375453114566281, 2: 0.005716590340117816}",0.0029270678257872222,"{1: 0.0001375453114566281, 2: 0.005716590340117816}",0.0029270678257872222,45,0.0,0,50.0,39.0,"{1: 28, 2: 28}",89.14285714285714,87.5,119.5,44.80357142857143,44.80357142857143,47.5,65.0,4808,60.0,247.0,492.0,247,0.28,56.0,4808.0,247,19.0,1,0,0,0.0,0,37.0,6.0,12.0,22.4,85.85714285714286,2.0,modular_native,8.0,11.0,1112,1.0,0.0,0.0,0.9997353596720837,423,14,0,0.0,149,1112,9.0,12.0,1112,1112,0.0,423,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.01651785714285714,0.031506001610286626,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,1.361764705882353,majority_vote,{},37,1.0,0.6391701960249151,28,0.3605238447664422,92.0,4.410714285714286,18,0.0,0.0,0.0,d76e117dd75eafddff51ab8f70335b49197606bf01bd7a42d1192345a623009d,28,1.0,1.0,2500,169.0,35.0,35.0,1070.0,"{1: 1070, 2: 532}",532.0,"{'vertex_conflicts_detected': 5, 'head_on_swap_conflicts_detected': 14, 'reservation_conflicts_detected': 18, 'traffic_yield_events': 7, 'traffic_yields_completed': 7, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 1}",10.0,0,7.0,0.3392857142857143,7,7,5
1,556,6.0,0.7111111111111111,32.0,0.07794117647058824,0.07794117647058824,13.0,0.6103030679024484,3.2808823529411764,13.577804787797916,2.4770149088918845,111.4656709001348,"{1: 0.04054316974063884, 2: 0.0032332044623624417}",0.02188818710150064,"{1: 0.04054316974063884, 2: 0.0032332044623624417}",0.02188818710150064,45,0.0,0,49.0,46.0,"{1: 27, 2: 28}",89.49090909090908,92.0,118.6,44.92727272727273,44.92727272727273,47.0,63.0,4868,0.0,267.0,444.0,267,0.275,55.0,4868.0,267,21.0,0,0,0,0.0,0,37.0,6.0,11.0,22.0,88.50909090909092,2.0,modular_native,10.0,12.0,1112,1.0,0.0,0.0,0.9985209131273997,378,30,0,0.0,165,1112,10.0,12.0,1112,1112,0.0,378,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,0.012567324955116695,0.035080067909211095,693dc26418767ea6f937b6334e1d7f891616a50a3386dba048e1a6bd2c290a2d,3.2808823529411764,full_trust,{},47,1.0,0.858790608494066,44,0.13945700220043078,111.0,4.8545454545454545,6,0.0,0.0,0.0,d76e117dd75eafddff51ab8f70335b49197606bf01bd7a42d1192345a623009d,28,0.0,0.0,2500,314.0,35.0,35.0,533.0,"{1: 376, 2: 533}",376.0,"{'vertex_conflicts_detected': 11, 'head_on_swap_conflicts_detected': 30, 'reservation_conflicts_detected': 6, 'traffic_yield_events': 15, 'traffic_yields_completed': 15, 'deadlocks_detected': 0, 'deadlocks_recovered': 0, 'robot_overlap_violations': 0, 'corridor_entry_denied': 0}",16.0,0,16.0,0.38181818181818183,15,15,11
